,tickers,best_value,best_param
173,EQT,1.6337707941009827,"{'r1': 8, 'ad': 17, 'limad': 11, 'wmean': 12, 'mc_ratio': 1.04}"
174,EFX,1.43633399333488,"{'r1': 8, 'ad': 15, 'limad': 20, 'wmean': 7, 'mc_ratio': 1.43}"
175,EQIX,1.209588662873247,"{'r1': 7, 'ad': 18, 'limad': 4, 'wmean': 3, 'mc_ratio': 1.03}"
176,EQR,1.3863341255937582,"{'r1': 8, 'ad': 19, 'limad': 3, 'wmean': 12, 'mc_ratio': 1.02}"
177,ERIE,2.0087990862239624,"{'r1': 13, 'ad': 22, 'limad': 16, 'wmean': 10, 'mc_ratio': 1.4}"
178,ESS,1.49789520610404,"{'r1': 5, 'ad': 26, 'limad': 6, 'wmean': 8, 'mc_ratio': 1.06}"
179,EL,1.4546496669971338,"{'r1': 8, 'ad': 23, 'limad': 13, 'wmean': 10, 'mc_ratio': 1.08}"
180,EG,1.3783196906222464,"{'r1': 6, 'ad': 29, 'limad': 8, 'wmean': 6, 'mc_ratio': 1.02}"
181,EVRG,1.2448879780653774,"{'r1': 15, 'ad': 13, 'limad': 5, 'wmean': 6, 'mc_ratio': 1.02}"
182,ES,1.1791917167681896,"{'r1': 15, 'ad': 12, 'limad': 4, 'wmean': 12, 'mc_ratio': 1.01}"
183,EXC,1.2234739251800755,"{'r1': 5, 'ad': 11, 'limad': 15, 'wmean': 4, 'mc_ratio': 1.4100000000000001}"
184,EXPE,1.8036448740852828,"{'r1': 5, 'ad': 17, 'limad': 19, 'wmean': 6, 'mc_ratio': 1.03}"
185,EXPD,1.2230487447340863,"{'r1': 10, 'ad': 22, 'limad': 5, 'wmean': 12, 'mc_ratio': 1.03}"
186,EXR,1.7379469988927432,"{'r1': 11, 'ad': 30, 'limad': 5, 'wmean': 5, 'mc_ratio': 1.03}"
187,XOM,1.2465412528445976,"{'r1': 7, 'ad': 22, 'limad': 16, 'wmean': 9, 'mc_ratio': 1.06}"
188,FFIV,1.8088457150588784,"{'r1': 8, 'ad': 11, 'limad': 3, 'wmean': 8, 'mc_ratio': 1.03}"
189,FDS,1.373013183552351,"{'r1': 7, 'ad': 19, 'limad': 10, 'wmean': 10, 'mc_ratio': 1.02}"
190,FICO,1.4608916432460517,"{'r1': 8, 'ad': 27, 'limad': 5, 'wmean': 6, 'mc_ratio': 1.1400000000000001}"
191,FAST,1.3700704950008276,"{'r1': 11, 'ad': 23, 'limad': 17, 'wmean': 8, 'mc_ratio': 1.15}"
192,FRT,1.2958488891152506,"{'r1': 5, 'ad': 13, 'limad': 15, 'wmean': 3, 'mc_ratio': 1.03}"
193,FDX,1.5447325452770486,"{'r1': 5, 'ad': 26, 'limad': 6, 'wmean': 8, 'mc_ratio': 1.03}"
194,FIS,1.8159698421957415,"{'r1': 5, 'ad': 28, 'limad': 6, 'wmean': 7, 'mc_ratio': 1.03}"
195,FITB,1.526928319554074,"{'r1': 6, 'ad': 22, 'limad': 3, 'wmean': 3, 'mc_ratio': 1.05}"
196,FSLR,1.5677919801368827,"{'r1': 15, 'ad': 17, 'limad': 11, 'wmean': 5, 'mc_ratio': 1.17}"
197,FE,1.1854102465832432,"{'r1': 6, 'ad': 30, 'limad': 13, 'wmean': 4, 'mc_ratio': 1.49}"
198,FI,1.608061286314714,"{'r1': 11, 'ad': 12, 'limad': 11, 'wmean': 12, 'mc_ratio': 1.26}"
199,FMC,1.1182222222238791,"{'r1': 11, 'ad': 29, 'limad': 18, 'wmean': 11, 'mc_ratio': 1.01}"
200,F,1.3807919567887263,"{'r1': 9, 'ad': 28, 'limad': 3, 'wmean': 12, 'mc_ratio': 1.06}"
201,FTNT,1.2582675498124671,"{'r1': 14, 'ad': 20, 'limad': 18, 'wmean': 12, 'mc_ratio': 1.04}"
202,FTV,1.469855667752163,"{'r1': 10, 'ad': 21, 'limad': 12, 'wmean': 8, 'mc_ratio': 1.47}"
203,FOXA,1.3408783092354526,"{'r1': 6, 'ad': 24, 'limad': 15, 'wmean': 9, 'mc_ratio': 1.04}"
204,FOX,1.2594937447577526,"{'r1': 12, 'ad': 9, 'limad': 18, 'wmean': 6, 'mc_ratio': 1.47}"
205,BEN,1.1935628541053456,"{'r1': 9, 'ad': 28, 'limad': 5, 'wmean': 4, 'mc_ratio': 1.47}"
206,FCX,1.5307148949508043,"{'r1': 9, 'ad': 29, 'limad': 3, 'wmean': 5, 'mc_ratio': 1.04}"
207,GRMN,2.0662380875647823,"{'r1': 5, 'ad': 6, 'limad': 19, 'wmean': 6, 'mc_ratio': 1.12}"
208,IT,1.3791600405477775,"{'r1': 6, 'ad': 22, 'limad': 11, 'wmean': 7, 'mc_ratio': 1.15}"
209,GE,1.2667717345886251,"{'r1': 15, 'ad': 15, 'limad': 16, 'wmean': 11, 'mc_ratio': 1.04}"
210,GEHC,,
211,GEV,,
212,GEN,1.6656596458133066,"{'r1': 8, 'ad': 11, 'limad': 17, 'wmean': 10, 'mc_ratio': 1.47}"
213,GNRC,1.7852353112006494,"{'r1': 11, 'ad': 28, 'limad': 5, 'wmean': 12, 'mc_ratio': 1.09}"
214,GD,1.2571644374684445,"{'r1': 5, 'ad': 22, 'limad': 6, 'wmean': 9, 'mc_ratio': 1.01}"
215,GIS,1.2962374465626334,"{'r1': 13, 'ad': 15, 'limad': 17, 'wmean': 12, 'mc_ratio': 1.04}"
216,GM,1.7463862539551926,"{'r1': 5, 'ad': 10, 'limad': 11, 'wmean': 6, 'mc_ratio': 1.35}"
217,GPC,1.111355082209544,"{'r1': 8, 'ad': 13, 'limad': 2, 'wmean': 4, 'mc_ratio': 1.3}"
